,:START_ID,:END_ID,relation,:TYPE
435,HN3348,GJ2,channel_tropism,channel_tropism
436,HN1380,GJ7,channel_tropism,channel_tropism
437,HN1380,GJ4,channel_tropism,channel_tropism
438,HN6752,GJ7,channel_tropism,channel_tropism
439,HN6752,GJ4,channel_tropism,channel_tropism
440,HN8297,GJ6,channel_tropism,channel_tropism
441,HN8297,GJ4,channel_tropism,channel_tropism
442,HN8297,GJ2,channel_tropism,channel_tropism
443,HN1692,GJ4,channel_tropism,channel_tropism
444,HN6088,GJ6,channel_tropism,channel_tropism
445,HN6088,GJ5,channel_tropism,channel_tropism
446,HN6088,GJ2,channel_tropism,channel_tropism
447,HN2506,GJ3,channel_tropism,channel_tropism
448,HN2506,GJ1,channel_tropism,channel_tropism
449,HN7587,GJ6,channel_tropism,channel_tropism
450,HN7587,GJ4,channel_tropism,channel_tropism
451,HN7587,GJ2,channel_tropism,channel_tropism
452,HN4075,GJ3,channel_tropism,channel_tropism
453,HN4075,GJ2,channel_tropism,channel_tropism
454,HN7614,GJ5,channel_tropism,channel_tropism
455,HN7614,GJ3,channel_tropism,channel_tropism
456,HN7614,GJ2,channel_tropism,channel_tropism
457,HN4990,GJ5,channel_tropism,channel_tropism
458,HN4990,GJ2,channel_tropism,channel_tropism
459,HN6862,GJ9,channel_tropism,channel_tropism
460,HN6862,GJ5,channel_tropism,channel_tropism
461,HN6862,GJ2,channel_tropism,channel_tropism
462,HN4147,GJ8,channel_tropism,channel_tropism
463,HN4147,GJ4,channel_tropism,channel_tropism
464,HN4147,GJ1,channel_tropism,channel_tropism
465,HN6173,GJ5,channel_tropism,channel_tropism
466,HN6173,GJ3,channel_tropism,channel_tropism
467,HN6173,GJ1,channel_tropism,channel_tropism
468,HN8523,GJ5,channel_tropism,channel_tropism
469,HN8523,GJ1,channel_tropism,channel_tropism
470,HN7434,GJ6,channel_tropism,channel_tropism
471,HN7434,GJ2,channel_tropism,channel_tropism
472,HN4241,GJ6,channel_tropism,channel_tropism
473,HN4241,GJ1,channel_tropism,channel_tropism
474,HN392,GJ5,channel_tropism,channel_tropism
