:START_ID,:END_ID,relation,:TYPE
ETCM_XHCF_2676,21021,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,3694,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,2700,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,19172,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,11607,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,13292,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,16829,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,14,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,17789,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,16649,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,4870,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,1969,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,8343,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,19912,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,6157,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,2150,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,19771,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,2543,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,4493,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,18856,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,7922,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,9334,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,15103,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,9728,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,9550,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,10997,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,12220,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,10843,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,10516,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,14721,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,4453,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,9898,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,20839,chemical_protein_link,chemical_protein_link
ETCM_XHCF_2676,1399,chemical_protein_link,chemical_protein_link
